"campaignid","sample","family","genus","species"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP17","Labridae","Choerodon","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP17","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP17","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP17","Lutjanidae","Pristipomoides","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP17","Unknown","Unknown","unknown"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP18","Carangidae","Carangoides","chrysophrys"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP18","Labridae","Bodianus","solatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP18","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP18","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP18","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP18","Lutjanidae","Pristipomoides","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP18","Triakidae","Hemitriakis","falcata"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP3","Acanthuridae","Naso","fageni"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP3","Balistidae","Sufflamen","fraenatum"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP3","Caesionidae","Pterocaesio","chrysozona"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP3","Chaetodontidae","Heniochus","acuminatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP3","Labridae","Bodianus","solatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP3","Lethrinidae","Lethrinus","ravus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP3","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP3","Lutjanidae","Pristipomoides","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP3","Serranidae","Epinephelus","areolatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP3","Serranidae","Epinephelus","multinotatus"
