EMOB,Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
,PCFB29,-22.7549,113.5424,20210908,12:33,12:42,,Pt Cloates,,82,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFB35,-22.7537,113.5402,20210908,12:47,12:55,,Pt Cloates,,88,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFBP3,-22.7511,113.5386,20210908,13:03,13:11,,Pt Cloates,,90,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFB5,-22.7492,113.5437,20210908,13:16,13:23,,Pt Cloates,,82,Molly Gerrans,Yes,,Checked cams before + re-synced,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,no fish 
,PCFB34,-22.7489,113.543,20210908,13:29,13:36,,Pt Cloates,,86,Molly Gerrans,Yes,,Checked lights after all ok.,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFB8,-22.7461,113.5399,20210908,13:43,13:52,,Pt Cloates,,91,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFB37,-22.7436,113.5427,20210908,13:58,14:06,,Pt Cloates,,87,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,,
,PCFBP2,-22.7434,113.5452,20210908,14:12,14:20,,Pt Cloates,,83,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,,
,PCFB13,-22.7434,113.5484,20210908,14:26,14:33,,Pt Cloates,,80,Molly Gerrans,Yes,,Checked cams before,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,,
,PCFB27,-22.7409,113.5496,20210908,14:41,14:49,,Pt Cloates,,80,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,,
,PCFB45,-22.7402,113.5411,20210908,14:58,15:05,,Pt Cloates,,90,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,,
,PCFBP4,-22.7376,113.5416,20210908,15:11,15:19,,Pt Cloates,,89,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,,
,PCFB11,-22.7358,113.5445,20210908,15:24,15:31,,Pt Cloates,,87,Molly Gerrans,Yes,,Checked cams + resynced before,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230509,Hannah Williams,Hannah Williams,,
,PCFBP5,-22.7344,113.5504,20210908,15:37,15:44,,Pt Cloates,,79,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230509,Hannah Williams,Hannah Williams,,
,PCFB44,-22.7338,113.5493,20210908,15:49,15:56,,Pt Cloates,,81,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230509,Hannah Williams,Hannah Williams,,
,PCFB26,-22.7315,113.5533,20210908,16:01,16:08,,Pt Cloates,,78,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230509,Hannah Williams,Hannah Williams,,
,PCFBP12,-22.7312,113.5446,20210908,16:14,16:21,,Pt Cloates,,88,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230509,Hannah Williams,Hannah Williams,,
,PCFB14,-22.731,113.5441,20210908,16:25,16:32,,Pt Cloates,,89,Molly Gerrans,Yes,,Checked cams before. think this is duplicate of PCFBPREF12,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230509,Hannah Williams,Hannah Williams,,
,PCFB15,-22.71,113.5506,20210908,16:42,16:49,,Pt Cloates,,87,Molly Gerrans,Yes,,"we have done this point twice so will have some error later on, maybe rename - Claude",RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230509,Hannah Williams,Hannah Williams,,
,PCFB25,-22.6907,113.5595,20210909,10:02,10:08,,Pt Cloates,,80,Molly Gerrans,Yes,,Flasher BOSS leftover,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
