"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2021-08_PtCloates_BOSS","PCFB22","20210826_BOTTOM_1_0007_0001.mp4","0.38983","Balistidae","Abalistes","filamentosus",1,"-22.6943","113.562",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB22","20210826_BOTTOM_1_0008_0001.mp4","2.09181","Cirrhitidae","Cyprinocirrhites","polyactis",3,"-22.6943","113.562",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB22","20210826_BOTTOM_1_0007_0001.mp4","0.00000","Pomacanthidae","Pomacanthus","imperator",1,"-22.6943","113.562",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB22","20210826_BOTTOM_1_0007_0001.mp4","0.53720","Pomacanthidae","Pomacanthus","semicirculatus",2,"-22.6943","113.562",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB22","20210826_BOTTOM_1_0007_0001.mp4","0.53720","Unknown","Unknown","Unknown",1,"-22.6943","113.562",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB23","20210826_BOTTOM_2_0004_0001.mp4","0.54694","Carangidae","Decapterus","spp",100,"-22.7009","113.5562",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB23","20210826_BOTTOM_2_0004_0001.mp4","0.92732","Carangidae","Seriola","dumerili",2,"-22.7009","113.5562",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB23","20210826_BOTTOM_2_0004_0001.mp4","0.97681","Carangidae","Seriola","rivoliana",3,"-22.7009","113.5562",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB23","20210826_BOTTOM_2_0004_0001.mp4","0.65371","Carcharhinidae","Carcharhinus","albimarginatus",1,"-22.7009","113.5562",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB23","20210826_BOTTOM_2_0004_0001.mp4","1.00740","Chaetodontidae","Heniochus","acuminatus",1,"-22.7009","113.5562",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB23","20210826_BOTTOM_2_0004_0001.mp4","1.27210","Chaetodontidae","Heniochus","diphreutes",3,"-22.7009","113.5562",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB23","20210826_BOTTOM_2_0004_0001.mp4","0.31726","Lethrinidae","Gymnocranius","sp1",1,"-22.7009","113.5562",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB23","20210826_BOTTOM_2_0004_0001.mp4","0.13708","Lutjanidae","Aphareus","rutilans",2,"-22.7009","113.5562",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB23","20210826_BOTTOM_2_0004_0001.mp4","1.60549","Lutjanidae","Aprion","virescens",1,"-22.7009","113.5562",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB23","20210826_BOTTOM_2_0004_0001.mp4","2.51029","Scaridae","Scarus","spp",1,"-22.7009","113.5562",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB24","20210826_BOTTOM_1_0004_0001.mp4","0.77466","Labridae","Bodianus","solatus",1,"-22.6849","113.5534",NA,NA,"Pt Cloates",NA,NA,"98","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB24","20210826_BOTTOM_1_0004_0001.mp4","1.05578","Lutjanidae","Pristipomoides","sp1",3,"-22.6849","113.5534",NA,NA,"Pt Cloates",NA,NA,"98","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB24","20210826_BOTTOM_1_0004_0001.mp4","0.77466","Priacanthidae","Priacanthus","spp",1,"-22.6849","113.5534",NA,NA,"Pt Cloates",NA,NA,"98","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB24","20210826_BOTTOM_1_0004_0001.mp4","0.48521","Serranidae","Epinephelus","areolatus",3,"-22.6849","113.5534",NA,NA,"Pt Cloates",NA,NA,"98","Yes","Yes"
