"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB21","Left_MAH00291.MP4","12.06511","Malacanthidae","Malacanthus","brevirostris",1,"-22.7021","113.5563","20210907","11:01","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB21","Left_MAH00291.MP4","3.08503","Pinguipedidae","Parapercis","nebulosa",1,"-22.7021","113.5563","20210907","11:01","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB21","Left_MAH00293.MP4","47.53888","Scaridae","Scarus",NA,1,"-22.7021","113.5563","20210907","11:01","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00296.MP4","1.43699","Acanthuridae","Naso","hexacanthus",4,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00297.MP4","26.79844","Carangidae","Carangoides","chrysophrys",1,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00298.MP4","55.21627","Carangidae","Carangoides","fulvoguttatus",2,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00298.MP4","33.84937","Carangidae","Seriola","rivoliana",2,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00296.MP4","7.83171","Labridae","Bodianus","solatus",1,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00297.MP4","27.62399","Lethrinidae","Gymnocranius","euanus",1,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00297.MP4","30.92200","Lethrinidae","Gymnocranius","sp1",5,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00296.MP4","5.83583","Lethrinidae","Lethrinus","miniatus",1,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00298.MP4","52.73518","Lethrinidae","Lethrinus","nebulosus",3,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00296.MP4","9.76615","Lethrinidae","Lethrinus","rubrioperculatus",3,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00298.MP4","50.81549","Lutjanidae","Aphareus","rutilans",1,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00297.MP4","14.53758","Lutjanidae","Lutjanus","sebae",1,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00296.MP4","7.32927","Lutjanidae","Pristipomoides","sp1",1,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00297.MP4","25.24466","Muraenidae","Gymnothorax","undulatus",1,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00298.MP4","37.55530","Scombridae","Scomberomorus","spp",3,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00298.MP4","34.95992","Sparidae","Argyrops","spinifer",1,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Left_MAH00296.MP4","2.32955","Unknown","Unknown","Unknown",2,"-22.7192","113.5485","20210907","13:02","Pt Cloates",NA,NA,"89","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Left_MAH01198.MP4","20.69651","Carangidae","Carangoides","chrysophrys",3,"-22.6916","113.5554","20210907","10:48","Pt Cloates",NA,NA,"92","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Left_MAH01199.MP4","52.29836","Carangidae","Carangoides","fulvoguttatus",2,"-22.6916","113.5554","20210907","10:48","Pt Cloates",NA,NA,"92","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Left_MAH01198.MP4","31.66524","Carangidae","Decapterus","sp1",12,"-22.6916","113.5554","20210907","10:48","Pt Cloates",NA,NA,"92","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Left_MAH01199.MP4","54.28062","Lethrinidae","Gymnocranius","euanus",1,"-22.6916","113.5554","20210907","10:48","Pt Cloates",NA,NA,"92","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Left_MAH01198.MP4","23.50237","Lethrinidae","Gymnocranius","sp1",2,"-22.6916","113.5554","20210907","10:48","Pt Cloates",NA,NA,"92","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Left_MAH01198.MP4","17.40322","Lethrinidae","Lethrinus","miniatus",4,"-22.6916","113.5554","20210907","10:48","Pt Cloates",NA,NA,"92","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Left_MAH01198.MP4","21.18311","Lethrinidae","Lethrinus","nebulosus",2,"-22.6916","113.5554","20210907","10:48","Pt Cloates",NA,NA,"92","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Left_MAH01198.MP4","13.48514","Lethrinidae","Lethrinus","rubrioperculatus",2,"-22.6916","113.5554","20210907","10:48","Pt Cloates",NA,NA,"92","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Left_MAH01198.MP4","18.94476","Lutjanidae","Lutjanus","sebae",1,"-22.6916","113.5554","20210907","10:48","Pt Cloates",NA,NA,"92","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Left_MAH01199.MP4","47.53471","Lutjanidae","Pristipomoides","sp1",3,"-22.6916","113.5554","20210907","10:48","Pt Cloates",NA,NA,"92","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Left_MAH01197.MP4","5.00722","Pinguipedidae","Parapercis","nebulosa",1,"-22.6916","113.5554","20210907","10:48","Pt Cloates",NA,NA,"92","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Left_MAH01198.MP4","13.48514","Serranidae","Epinephelus","multinotatus",1,"-22.6916","113.5554","20210907","10:48","Pt Cloates",NA,NA,"92","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Left_MAH01198.MP4","11.48481","Unknown","Unknown","Unknown",2,"-22.6916","113.5554","20210907","10:48","Pt Cloates",NA,NA,"92","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Left_MAH00199.MP4","24.95132","Carangidae","Carangoides","chrysophrys",2,"-22.7133","113.5543","20210907","12:54","Pt Cloates",NA,NA,"79","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Left_MAH00200.MP4","42.73269","Carangidae","Carangoides","fulvoguttatus",3,"-22.7133","113.5543","20210907","12:54","Pt Cloates",NA,NA,"79","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Left_MAH00198.MP4","9.32543","Carangidae","Carangoides","gymnostethus",1,"-22.7133","113.5543","20210907","12:54","Pt Cloates",NA,NA,"79","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Left_MAH00199.MP4","26.63605","Carangidae","Seriola","rivoliana",1,"-22.7133","113.5543","20210907","12:54","Pt Cloates",NA,NA,"79","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Left_MAH00198.MP4","2.62596","Cirrhitidae","Cirrhitichthys","aprinus",1,"-22.7133","113.5543","20210907","12:54","Pt Cloates",NA,NA,"79","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Left_MAH00199.MP4","10.78661","Echeneidae","Echeneis","naucrates",1,"-22.7133","113.5543","20210907","12:54","Pt Cloates",NA,NA,"79","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Left_MAH00198.MP4","8.77543","Labridae","Choerodon","sp1",1,"-22.7133","113.5543","20210907","12:54","Pt Cloates",NA,NA,"79","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Left_MAH00200.MP4","34.72775","Lethrinidae","Gymnocranius","euanus",2,"-22.7133","113.5543","20210907","12:54","Pt Cloates",NA,NA,"79","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Left_MAH00198.MP4","1.14003","Lethrinidae","Gymnocranius","sp1",1,"-22.7133","113.5543","20210907","12:54","Pt Cloates",NA,NA,"79","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Left_MAH00198.MP4","10.70069","Lethrinidae","Lethrinus","miniatus",1,"-22.7133","113.5543","20210907","12:54","Pt Cloates",NA,NA,"79","Henry Evans","Yes","Yes"
