sample,PCO1,PCO2,method
2021-08_Pt-Cloates_stereo-BRUVs.PCBP11,-0.134049084,0.160507603,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP13,-0.261915116,0.176101629,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP14,-0.37164758,0.070135347,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP15,-0.22906824,0.129673468,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP16,-0.616596575,-0.050657236,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP17,-0.352720436,0.091028324,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP18,-0.401285847,0.012741568,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP3,-0.488975447,-0.194760975,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP6,-0.468202779,0.037713371,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP7,-0.253278642,0.123391961,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP8,-0.331239509,-0.074919421,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP9,-0.339192298,-0.071784328,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV1,-0.321724436,0.029524133,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV14,-0.411884613,0.004582351,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV15,-0.408818651,0.021585969,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV18,-0.39255101,0.00139824,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV19,-0.392743708,-0.173603438,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV20,-0.430487577,-0.19865981,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV22,-0.371575455,0.105281893,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV23,-0.496965747,-0.007320294,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV24,-0.331998896,-0.067181586,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV26,-0.575586452,-0.029442626,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV27,-0.51547992,-0.081898354,BRUV
