"campaignid","sample","family","genus","species","length","number","range"
"2021-05_PtCloates_stereo-BRUVS","21","Lethrinidae","Lethrinus","miniatus",441.5562,1,777.93687
"2021-05_PtCloates_stereo-BRUVS","21","Lethrinidae","Gymnocranius","grandoculis",243.0149,1,1410.28663
"2021-05_PtCloates_stereo-BRUVS","21","Labridae","Choerodon","zamboangae",270.57387,1,992.40645
"2021-05_PtCloates_stereo-BRUVS","22","Microdesmidae","Ptereleotris","sp1",52.3105,1,1993.79559
"2021-05_PtCloates_stereo-BRUVS","22","Labridae","Bodianus","solatus",302.2452,1,3619.99486
"2021-05_PtCloates_stereo-BRUVS","22","Lutjanidae","Pristipomoides","sp1",238.03874,1,1610.34093
"2021-05_PtCloates_stereo-BRUVS","22","Lutjanidae","Pristipomoides","sp1",245.57587,1,1669.20332
"2021-05_PtCloates_stereo-BRUVS","22","Lutjanidae","Pristipomoides","sp1",255.32192,1,1963.53181
"2021-05_PtCloates_stereo-BRUVS","22","Lutjanidae","Pristipomoides","sp1",322.70611,1,1703.3002
"2021-05_PtCloates_stereo-BRUVS","22","Lutjanidae","Pristipomoides","sp1",241.93981,1,2410.65887
"2021-05_PtCloates_stereo-BRUVS","22","Nemipteridae","Nemipterus","peronii",265.38615,1,2117.13191
"2021-05_PtCloates_stereo-BRUVS","22","Nemipteridae","Nemipterus","peronii",242.31042,1,2959.33728
"2021-05_PtCloates_stereo-BRUVS","22","Nemipteridae","Nemipterus","peronii",352.42937,1,3388.13082
