sample,PCO1,PCO2,method
2021-08_Pt-Cloates_stereo-BRUVs.PCB11,-0.419723326,0.436303196,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB12,-0.276344553,0.149811632,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB13,-0.283312599,0.188887281,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB16,-0.292568258,0.262486739,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB2,-0.340332297,0.293063945,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB21,-0.1594249,0.066048586,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB25,-0.313673789,0.285212247,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB28,-0.387096003,0.361549881,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB29,-0.263658635,0.184205749,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB3,-0.313828169,0.251587618,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB30,-0.270583528,0.182377143,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB4,-0.247467763,0.140538945,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB9,-0.214720564,0.102360268,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP1,-0.284137587,0.246415181,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP10,-0.220835296,0.058205007,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP11,-0.098288063,-0.081856064,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP13,-0.189779215,0.077171821,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP14,-0.276737589,0.166626104,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP15,-0.158283613,0.049659003,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP16,-0.413141657,0.450862574,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP17,-0.234088076,0.162119184,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP18,-0.263040297,0.226227295,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP3,-0.31914189,0.321068786,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP6,-0.315447237,0.268337576,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP7,-0.178602039,0.031515312,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP8,-0.217981543,0.173422738,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP9,-0.237575271,0.182611841,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV1,-0.206255763,0.124684594,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV14,-0.28532143,0.19876961,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV15,-0.280449684,0.186540699,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV18,-0.26178914,0.170901256,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV19,-0.242885618,0.206156753,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV20,-0.268081036,0.265542653,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV22,-0.251050904,0.162497053,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV23,-0.34038782,0.315878709,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV24,-0.214469561,0.115452735,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV26,-0.386082203,0.375940037,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV27,-0.338489567,0.337829067,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV5,-0.099843027,-0.04909754,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV7,-0.285840131,0.26961057,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV8,-0.271850412,0.248671617,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCPREF12,-0.338710868,0.290699391,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCPREF2,-0.311716868,0.319178132,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCPREF4,-0.31732887,0.293825439,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCPREF5,-0.255512864,0.225311287,BRUV
2022-05_PtCloates_stereo-BRUVS.20,-0.274401813,0.207363834,BRUV
2022-05_PtCloates_stereo-BRUVS.24,-0.282357353,0.233349429,BRUV
2022-05_PtCloates_stereo-BRUVS.28,-0.376523882,0.331941244,BRUV
2022-05_PtCloates_stereo-BRUVS.29,-0.22901439,0.12336982,BRUV
2022-05_PtCloates_stereo-BRUVS.30,-0.254871818,0.147985935,BRUV
2022-05_PtCloates_stereo-BRUVS.31,-0.254559396,0.16606808,BRUV
2022-05_PtCloates_stereo-BRUVS.32,-0.250701032,0.179380456,BRUV
2022-05_PtCloates_stereo-BRUVS.33,-0.242317431,0.12179361,BRUV
2022-05_PtCloates_stereo-BRUVS.34,-0.313266886,0.200933694,BRUV
2022-05_PtCloates_stereo-BRUVS.35,-0.31402927,0.253780786,BRUV
2022-05_PtCloates_stereo-BRUVS.36,-0.235556703,0.148804458,BRUV
2022-05_PtCloates_stereo-BRUVS.37,-0.290024735,0.222974299,BRUV
2022-05_PtCloates_stereo-BRUVS.38,-0.102051073,-0.130815086,BRUV
2022-05_PtCloates_stereo-BRUVS.39,-0.259787275,0.178240442,BRUV
