"id","campaignid","sample","family","genus","species","length","number","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_PtCloates_BOSS.15","2021-05_PtCloates_BOSS","15",NA,NA,NA,NA,0,NA,-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.18","2021-05_PtCloates_BOSS","18","Carangidae","Carangoides","sp10",NA,0,NA,-22.6838,113.5489,2021-05-20,13:14:58,"Point Cloates","No-take","inNP.18",102,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.18","2021-05_PtCloates_BOSS","18","Carangidae","Pseudocaranx","spp",NA,0,NA,-22.6838,113.5489,2021-05-20,13:14:58,"Point Cloates","No-take","inNP.18",102,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.18","2021-05_PtCloates_BOSS","18","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,-22.6838,113.5489,2021-05-20,13:14:58,"Point Cloates","No-take","inNP.18",102,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.18","2021-05_PtCloates_BOSS","18","Carcharhinidae","Carcharhinus","spp",NA,0,NA,-22.6838,113.5489,2021-05-20,13:14:58,"Point Cloates","No-take","inNP.18",102,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.18","2021-05_PtCloates_BOSS","18","Holocentridae","Sargocentron","spp",NA,0,NA,-22.6838,113.5489,2021-05-20,13:14:58,"Point Cloates","No-take","inNP.18",102,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.18","2021-05_PtCloates_BOSS","18","Lethrinidae","Lethrinus","miniatus",NA,0,NA,-22.6838,113.5489,2021-05-20,13:14:58,"Point Cloates","No-take","inNP.18",102,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.18","2021-05_PtCloates_BOSS","18","Lutjanidae","Pristipomoides","spp",NA,0,NA,-22.6838,113.5489,2021-05-20,13:14:58,"Point Cloates","No-take","inNP.18",102,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.18","2021-05_PtCloates_BOSS","18","Pinguipedidae","Parapercis","nebulosa",NA,0,NA,-22.6838,113.5489,2021-05-20,13:14:58,"Point Cloates","No-take","inNP.18",102,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.18","2021-05_PtCloates_BOSS","18","Priacanthidae","Priacanthus","spp",NA,0,NA,-22.6838,113.5489,2021-05-20,13:14:58,"Point Cloates","No-take","inNP.18",102,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.18","2021-05_PtCloates_BOSS","18","Sparidae","Dentex","spp",NA,0,NA,-22.6838,113.5489,2021-05-20,13:14:58,"Point Cloates","No-take","inNP.18",102,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.18","2021-05_PtCloates_BOSS","18","SUS","SUS","sus",NA,0,NA,-22.6838,113.5489,2021-05-20,13:14:58,"Point Cloates","No-take","inNP.18",102,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.18","2021-05_PtCloates_BOSS","18","Triakidae","Unknown","spp",NA,0,NA,-22.6838,113.5489,2021-05-20,13:14:58,"Point Cloates","No-take","inNP.18",102,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.18","2021-05_PtCloates_BOSS","18",NA,NA,NA,NA,0,NA,-22.6838,113.5489,2021-05-20,13:14:58,"Point Cloates","No-take","inNP.18",102,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.19","2021-05_PtCloates_BOSS","19","Carangidae","Carangoides","sp10",NA,0,NA,-22.7314,113.5313,2021-05-20,08:09:34,"Point Cloates","No-take","inNP.19",106,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.19","2021-05_PtCloates_BOSS","19","Carangidae","Pseudocaranx","spp",NA,0,NA,-22.7314,113.5313,2021-05-20,08:09:34,"Point Cloates","No-take","inNP.19",106,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.19","2021-05_PtCloates_BOSS","19","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,-22.7314,113.5313,2021-05-20,08:09:34,"Point Cloates","No-take","inNP.19",106,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.19","2021-05_PtCloates_BOSS","19","Carcharhinidae","Carcharhinus","spp",NA,0,NA,-22.7314,113.5313,2021-05-20,08:09:34,"Point Cloates","No-take","inNP.19",106,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.19","2021-05_PtCloates_BOSS","19","Holocentridae","Sargocentron","spp",NA,0,NA,-22.7314,113.5313,2021-05-20,08:09:34,"Point Cloates","No-take","inNP.19",106,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.19","2021-05_PtCloates_BOSS","19","Lethrinidae","Lethrinus","miniatus",NA,0,NA,-22.7314,113.5313,2021-05-20,08:09:34,"Point Cloates","No-take","inNP.19",106,"Molly Gerrans","Yes","Yes"
